"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1970,12,0,0,3.66,0.377238329718063,38,4.9,0,1,1,0.6,0.29183563554699,5.12698101122816,0.650842778158372,20.6121404208162,3.0041,29.6858998457497,55.9530145895356
1971,1,0,0,4.17,0.420682590037938,87,7.5,0,1,0,1,0.20553614916077,5.0733427727732,0.651371566224156,20.6157891888059,3.0041,29.550139676964,56.0887747583213
1971,2,0,0,4.16,0.419804832973437,14.5,17.6,0,1,0,1,0.144862434713302,5.02037586064138,0.649520005182867,20.6166493411596,3.0041,29.4355076416972,56.2034067935881
1971,3,0,0,4.57,0.456639806802495,48.4,41,0,1,0,1,0.0990130236640554,4.96338917283833,0.645670599496392,20.6153571595227,3.0041,29.3275299555215,56.3113844797638
1971,4,0,0,7.32,0.747523789572484,33.5,80.8,0,0.838848920863309,0,1,0.0587153851320532,4.88618736912513,0.638436663376414,20.6110264426318,3.0041,29.1984658602654,56.44044857502
1971,5,0,0,11.03,1.2499372981212,35.5,101.5,0,0.2,1,0.6,0.0518164704110847,4.8678993952703,0.636431977934523,20.609678639391,3.0041,29.169926483007,56.4689879522784
1971,6,0,0,12.1,1.41493566395445,84.3,124.5,0,1,1,0.6,0.0255398564081053,4.76567160881246,0.6243983611837,20.6004945469006,3.0041,29.0202043733049,56.6187100619805
1971,7,0,0,16.67,2.19658187222365,36.6,129.2,0,0.2,1,0.6,0.020503221930385,4.73437029234519,0.620363017770732,20.5972590701146,3.0041,28.9765956021609,56.6623188331244
1971,8,0,0,15.78,2.036156506665,85.5,125.7,0,1,1,0.6,0.00740757990759752,4.59195739183709,0.60169666092234,20.5807755990759,3.0041,28.7859372317429,56.8529772035424
1971,9,1.7447,0,13.36,1.61898926172307,15.7,55.1,0,0.675461720938501,1,0.6,1.03394659073442,5.23228872267709,0.591448201266506,20.5712863598819,3.0041,30.43306987456,56.9505445607254
1971,10,0,0,11.2,1.27560951108259,79.5,32.2,0,1,0,1,0.357140933208641,5.06806231850933,0.635592551559436,20.6264617429686,3.0041,29.691357546246,57.6922568890393
1971,11,0,0,5.71,0.568100662920862,66.8,11.1,0,1,0,1,0.222452424366272,4.99659181133334,0.638372491291324,20.6331573397412,3.0041,29.4946740667321,57.8889403685532
1971,12,0,0,5.88,0.585846414698556,21,5.1,0,1,0,1,0.136525022123823,4.92394422907534,0.636248873636832,20.6342895498273,3.0041,29.3351076746633,58.048506760622
