"","year","month","modern","Tmp","Rain","Evap","C_inp","FYM","PC","DPM_RPM"
"192",2035,12,100,3.83,67.75,0.5,0,0,1,1.44
"193",2036,1,100,2.88,54.82,0.57,0,0,1,1.44
"194",2036,2,100,3.05,46.74,0.83,0,0,1,1.44
"195",2036,3,100,6,48.39,1.73,0,0,1,1.44
"196",2036,4,100,9.8,36.47,3.03,0,0,1,1.44
"197",2036,5,100,13.16,62.3,3.82,0,0,1,1.44
"198",2036,6,100,16.29,56.5,4.44,0,0,1,1.44
"199",2036,7,100,18.28,66.59,4.65,0,0,1,1.44
"200",2036,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"201",2036,9,100,14.43,45.91,2.34,0,0,0,1.44
"202",2036,10,100,11.08,58.98,1.25,0,0,1,1.44
"203",2036,11,100,6.75,54.73,0.69,0,0,1,1.44
"204",2036,12,100,3.83,67.75,0.5,0,0,1,1.44
"205",2037,1,100,2.88,54.82,0.57,0,0,1,1.44
"206",2037,2,100,3.05,46.74,0.83,0,0,1,1.44
"207",2037,3,100,6,48.39,1.73,0,0,1,1.44
"208",2037,4,100,9.8,36.47,3.03,0,0,1,1.44
"209",2037,5,100,13.16,62.3,3.82,0,0,1,1.44
"210",2037,6,100,16.29,56.5,4.44,0,0,1,1.44
"211",2037,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"212",2037,8,100,17.18,76.22,3.49,0,0,1,1.44
"213",2037,9,100,14.43,45.91,2.34,0,0,1,1.44
"214",2037,10,100,11.08,58.98,1.25,0,0,1,1.44
"215",2037,11,100,6.75,54.73,0.69,0,0,1,1.44
"216",2037,12,100,3.83,67.75,0.5,0,0,1,1.44
"217",2038,1,100,2.88,54.82,0.57,0,0,1,1.44
"218",2038,2,100,3.05,46.74,0.83,0,0,1,1.44
"219",2038,3,100,6,48.39,1.73,1.12,0,1,1.44
"220",2038,4,100,9.8,36.47,3.03,0,0,1,1.44
"221",2038,5,100,13.16,62.3,3.82,0,0,1,1.44
"222",2038,6,100,16.29,86.5,4.44,0,0,1,1.44
"223",2038,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"224",2038,8,100,17.18,106.22,3.49,0,0,1,1.44
"225",2038,9,100,14.43,45.91,2.34,0,0,1,1.44
"226",2038,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"227",2038,11,100,6.75,54.73,0.69,0,0,1,1.44
"228",2038,12,100,3.83,67.75,0.5,0,0,1,1.44
"229",2039,1,100,2.88,54.82,0.57,0,0,1,1.44
"230",2039,2,100,3.05,46.74,0.83,0,0,1,1.44
"231",2039,3,100,6,48.39,1.73,0,0,1,1.44
"232",2039,4,100,9.8,36.47,3.03,0,0,1,1.44
"233",2039,5,100,13.16,62.3,3.82,0,0,1,1.44
"234",2039,6,100,16.29,56.5,4.44,0,0,1,1.44
"235",2039,7,100,18.28,66.59,4.65,0,0,1,1.44
"236",2039,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"237",2039,9,100,14.43,45.91,2.34,0,0,0,1.44
"238",2039,10,100,11.08,58.98,1.25,0,0,1,1.44
