"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
2038,12,0,0,4.44,0.444772680629876,73.82,0.5,0,1,1,0.6,0.756768598987791,6.52634151103125,0.84521021072263,42.2745965585939,3.0041,53.4070168793356,80.4848954386692
2039,1,0,0,3.38,0.354534878846153,59.58,0.57,0,1,1,0.6,0.63383589841755,6.49172639914136,0.852762537910378,42.2800179605382,3.0041,53.2624427960075,80.6294695219973
2039,2,0,0,4.29,0.431296337046394,52.92,0.83,0,1,1,0.6,0.51088367229035,6.4498640908449,0.859308432744063,42.2836180667719,3.0041,53.1077742626512,80.7841380553535
2039,3,0,0,6.83,0.690260651949626,53.3,1.73,0,1,1,0.6,0.361771063731411,6.38342731367821,0.865128437340936,42.2839918629867,3.0041,52.8984186777372,80.9934936402675
2039,4,0,0,9.91,1.08624679760332,45.03,3.03,0,1,1,0.6,0.210164002945782,6.28026041926116,0.866231411083661,42.2751408117028,3.0041,52.6358966449934,81.2560156730113
2039,5,0,0,13.7,1.67570940522576,60.12,3.82,0,1,1,0.6,0.0909248635075324,6.12436946460384,0.857045762097306,42.248281496114,3.0041,52.3247215863227,81.5671907316821
2039,6,0,0,16.9,2.23856432581044,59.57,4.44,0,1,1,0.6,0.0296882494709144,5.92213687090848,0.835952659159908,42.2006944979469,3.0041,51.9925722774862,81.8993400405186
2039,7,0,0,18.5,2.53584286492207,73.2,4.65,0,1,1,0.6,0.00835474711722596,5.70110319283495,0.808532657471583,42.1404057960083,3.0041,51.662496393432,82.2294159245727
2039,8,2.08,0,18.4,2.51701829650327,75.96,3.49,0,1,1,0.6,1.22991437700816,6.34232818437445,0.781034564077436,42.0778429134427,3.0041,53.4352200389028,82.536692279102
2039,9,0,0,15.3,1.95107327120539,55.74,2.34,0,1,0,1,0.241967989129683,6.04039308888242,0.845114374628157,42.1097539842664,3.0041,52.2413294369066,83.7305828810981
2039,10,0,0,11.5,1.321422018351,65.84,1.25,0,1,1,0.6,0.124972589831456,5.92184325156203,0.840244324246557,42.0907612922289,3.0041,51.981921457869,83.9899908601357
2039,11,0,0,7.13,0.725049354203736,58.83,0.69,0,1,1,0.6,0.0869705673249665,5.85778777890794,0.834908697312931,42.07731140772,3.0041,51.8610784512658,84.1108338667389
2039,12,0,0,4.44,0.444772680629876,73.82,0.5,0,1,1,0.6,0.0696291578676352,5.81883709528775,0.831052846045986,42.0683548049995,3.0041,51.7919739042008,84.1799384138039
